Home Team,Away Team,Score,Date
Juventus,AC Milan,(3) 1 - (4) 1,2016-12-23
Vitoria Setubal,Tondela,3 - 0,2016-12-23
Arouca,Guimaraes,0 - 1,2016-12-23
Dundee,Heart of Midlothian,3 - 2,2016-12-23
Kilmarnock,St Johnstone,0 - 1,2016-12-23
Motherwell,Aberdeen,1 - 3,2016-12-23
Ross County,Partick Thistle,1 - 3,2016-12-23
Brisbane Roar,Western Sydney Wanderers,1 - 1,2016-12-23
