Home Team,Away Team,Score,Date
Alavés,Gimnastic de Tarragona,3 - 0,2016-12-22
Celta Vigo,UCAM Murcia,1 - 0,2016-12-22
Athletic Bilbao,Racing Santander,3 - 0,2016-12-22
Espanyol,AD Alcorcon,(3) 1 - (4) 1,2016-12-22
AS Roma,Chievo Verona,3 - 1,2016-12-22
Cagliari,Sassuolo,4 - 3,2016-12-22
Fiorentina,Napoli,3 - 3,2016-12-22
Palermo,US Pescara,1 - 1,2016-12-22
Sampdoria,Udinese,0 - 0,2016-12-22
Torino,Genoa,1 - 0,2016-12-22
América,U.A.N.L, - ,2016-12-22
CD Nacional de Madeira,Boavista,0 - 2,2016-12-22
Braga,Moreirense,2 - 1,2016-12-22
Feirense,Paços de Ferreira,2 - 0,2016-12-22
Belenenses,Sporting CP,0 - 1,2016-12-22
GD Chaves,Estoril,1 - 0,2016-12-22
KAA Gent,Anderlecht,2 - 3,2016-12-22
Baroka FC,Mamelodi Sundowns,0 - 1,2016-12-22
